,Born,Birth place,Died,Place of Death,Notable Works,Subjects Of Study,Philosophers
0,1856,Ukraine,1922,Palestine,,"Agriculture, Zionism",Aaron David Gordon
1,1907,Poland,1972,York,,"Judaism, Philosophy Of Religion",Abraham Joshua Heschel
2,1316,Germany,1390,Germany,,Gravity,Albert of Saxony
3,1463,Italy,1512,Bologna,,William Of Ockham,Alessandro Achillini
4,1714,Germany,1762,Germany,,"Aesthetics, Gottfried Wilhelm Leibniz, Feeling, Christian, Baron Von Wolff",Alexander Gottlieb Baumgarten
5,1853,Ukraine,1920,Austria,,"Objectivism, Intentionality",Alexius Meinong
6,1857,France,1940,France,,"Philosophy Of Religion, Modernism",Alfred Firmin Loisy
7,1879,Poland,1950,Connecticut,,"Semantics, General Semantics",Alfred Korzybski
8,1861,England,1947,Massachusetts,“Principia Mathematica”,"Education, Mathematics, Philosophy Of Science, Formal Logic, Materialism",Alfred North Whitehead
9,1930,Indiana,1992,Illinois,“The Closing Of The American Mind: How Higher Education Has Failed Democracy And Impoverished The Souls Of Today’S Students”,Higher Education,Allan Bloom
10,500,Clazomenae,428,Lampsacus,,"Eclipse, Cosmology, Nous",Anaxagoras
11,475,Italy,524,Italy,,"Aristotelianism, Universal, Trinity, Porphyry, Free Will",Anicius Manlius Severinus Boethius
12,1843,Sicilies,1904,Italy,,"Socialism, Historical Materialism",Antonio Labriola
13,1797,Italy,1855,Italy,,Philosophy Of Religion,Antonio Rosmini-Serbati
14,1923,England,2010,England,"“There Is A God: How The World’S Most Notorious Atheist Changed His Mind”, “Atheistic Humanism”, “God And Philosophy”","Atheism, Philosophy Of Religion, Theology",Antony Flew
15,384,Greece,322,Greece,"“On The Heavens”, “On Interpretation”, “Ode To Virtue”, “Prior Analytics”, “Organon”, “Politics”, “Posterior Analytics”, “Metaphysica”, “On Generation And Corruption”, “On The Soul”","Biology, Rhetoric, Aristotelianism, Zoology, Universal",Aristotle
16,1878,Italy,1959,Italy,,Phenomenon,Armando Carlini
17,1873,Germany,1962,Maryland,,Great Chain Of Being,Arthur O. Lovejoy
18,1788,Poland,1860,Germany,,"Philosophy Of Art, Panpsychism",Arthur Schopenhauer
19,1882,England,1944,England,"“Fundamental Theory”, “Stellar Movements And The Structure Of The Universe”, “Stars And Atoms”, “Relativity Theory Of Protons And Electrons”, “The Mathematical Theory Of Relativity”, “The Expanding Universe”, “Internal Constitution Of The Stars”, “Science And The Unseen World”","Star, Relativity, Globular Cluster, Physical Constant, Special Relativity",Arthur Stanley Eddington
20,80,India,150,Pakistan,"“Mahayana-Shraddhotpada-Shastra”, “Buddhacarita”",Mahayana,Ashvaghosha
21,1798,France,1857,France,,"Sociology, Social Evolution",Auguste Comte
22,1126,Spain,1198,Marrakech,,"Islam, Platonism, Aristotelianism, Greek Philosophy",Averroes
23,980,Uzbekistan,1037,Iran,"“Kitāb Al-Shifāʾ”, “The Canon Of Medicine”","Islam, History Of Medicine, Aristotelianism, Greek Philosophy",Avicenna
24,1528,Spain,1580,Spain,,"Casuistry, Probabilism",Bartolome de Medina
25,1866,Italy,1952,Italy,,"Political Philosophy, Philosophy Of History, Spiritualism",Benedetto Croce
26,1632,Netherlands,1677,Netherlands,,"Pantheism, Mind-Body Dualism",Benedict de Spinoza
27,1848,England,1923,England,,"Ethics, Metaphysics, Aesthetics, Political Philosophy, Logic",Bernard Bosanquet
28,1670,Netherlands,1733,England,,Virtue,Bernard de Mandeville
29,1872,Wales,1970,Wales,“Principia Mathematica”,"Formal Logic, Nuclear Weapon, Russell’S Paradox, Disarmament, Axiomatic Method",Bertrand Russell
30,1403,Turkey,1472,Italy,“In Calumniatorem Platonis”,"Greek Literature, Platonism",Bessarion
31,570,India,651,India,“Vakyapadiya”,"Philosophy Of Language, Shabdadvaita",Bhartrihari
32,1623,France,1662,France,"“Les Provinciales”, “Essai Pour Les Coniques”, “Traité Du Triangle Arithmétique”, “Pensées”, “The Physical Treatises Of Pascal”","Probability, Conic Section, Pascal’S Triangle, Cycloid, Pascal’S Principle",Blaise Pascal
33,1266,Scotland,1308,Germany,,"Scholasticism, Realism, Incarnation, Immaculate Conception, Divine Union",Blessed John Duns Scotus
34,1905,Germany,1997,Jersey,,"Philosophy Of Science, Scientific Theory, Covering-Law Model",Carl Gustav Hempel
35,1839,Massachusetts,1914,Pennsylvania,,"Category, Induction, Abduction",Charles Sanders Peirce
36,1032,China,1085,China,,"Li, Neo-Confucianism",Cheng Hao
37,1033,China,1107,China,,"Li, Neo-Confucianism, Lixue",Cheng Yi
38,1715,France,1771,France,,Education,Claude-Adrien Helvetius
39,551,China,479,China,,"Ren, Junzi, Xiao, Li, “Shijing”",Confucius
40,1808,Germany,1874,Germany,,"Rationalism, Religion, Dialectic",David Friedrich Strauss
41,1705,England,1757,England,,Associationism,David Hartley
42,1711,Scotland,1776,Scotland,"“Essays, Moral And Political”, “An Enquiry Concerning Human Understanding”, “History Of England”, “A Treatise Of Human Nature”, “Enquiry Concerning The Principles Of Morals”","England, Miracle, Idea, Neutral Monism, Causation",David Hume
43,1713,France,1784,France,"“Rameau’S Nephew”, “Philosophic Thoughts”, “An Essay On Blindness”, “Essai Sur La Peinture”, “Pensées Sur L’Interprétation De La Nature”, “Jacques The Fatalist And His Master”, “L’Entretien Entre D’Alembert Et Diderot”, “Inquiry Concerning Virtue”, “Éléments De Physiologie”, “The Nun”",Dramatic Literature,Denis Diderot
44,1942,China,2017,England,"“Reasons And Persons”, “On What Matters”","Personal Identity, Triple Theory",Derek Parfit
45,179,China,104,China,,Yinyang,Dong Zhongshu
46,1891,Poland,1942,Poland,,"Phenomenology, Thomism",Edith Stein
47,1859,Czechoslovakia,1938,Germany,,"Consciousness, Eidetic Reduction, Phenomenological Reduction",Edmund Husserl
48,1842,Germany,1906,Germany,“The Philosophy Of The Unconscious”,"Rationalism, Irrationalism, Unconscious",Eduard von Hartmann
49,1835,Scotland,1908,England,,"Immanuel Kant, Theology",Edward Caird
50,1862,Finland,1939,Finland,,"Primitive Culture, Marriage, Ethical Relativism, Morality",Edward Westermarck
51,1906,Lithuania,1995,France,,Judaism,Emmanuel Levinas
52,490,Italy,430,Greece,,"Cosmology, Reincarnation, Strife, Element",Empedocles
53,1883,Republic,1949,Netherlands,,Faith,Erich Frank
54,1900,Germany,1980,Switzerland,“Escape From Freedom”,Self-Image,Erich Fromm
55,1901,Czechoslovakia,1985,York,,"Logic, Scientific Method",Ernest Nagel
56,1823,France,1892,France,,"Judaism, Jesus, Rationalism, Religion, Early Church",Ernest Renan
57,1838,Austria,1916,Germany,,"Measurement, Wave, Sensation, Mach Number, Mach’S Principle",Ernst Mach
58,1865,Germany,1923,Germany,,"Christianity, Philosophy Of Religion, Historicism, Society, Relativism",Ernst Troeltsch
59,1887,Austria,1961,Austria,"“My View Of The World”, “Nature And The Greeks”","Quantum, Schrödinger Equation",Erwin Schrodinger
60,1715,France,1780,France,,"John Locke, Sensation",Etienne Bonnot de Condillac
61,1884,France,1978,France,,Middle Ages,Etienne Gilson
62,1792,Germany,1860,Germany,,"Christianity, Hegelianism",Ferdinand Christian Baur
63,1548,Spain,1617,Lisbon,"“De Virtute Et Statu Religionis”, “De Vera Intelligentia Auxilii Efficacis”, “Defensio Fidei Catholicae”, “De Legibus”, “Disputationes Metaphysicae”","Church And State, Theocracy",Francisco Suarez
64,1721,Netherlands,1790,Netherlands,,"Aesthetics, Rationalism, Sensationalism",Franciscus Hemsterhuis
65,1838,Germany,1917,Switzerland,“Psychologie Vom Empirischen Standpunkte”,"Intentionality, Intentionalism",Franz Brentano
66,1886,Germany,1929,Germany,,"Judaism, Existentialism",Franz Rosenzweig
67,1866,England,1957,England,,"Theism, Argument From Design",Frederick Robert Tennant
68,1844,Germany,1900,Germany,"“Thus Spake Zarathustra”, “The Birth Of Tragedy”, “Untimely Meditations”, “The Will To Power”, “Human, All-Too-Human”, “On The Genealogy Of Morals”, “The Gay Science“, “Ecce Homo”, “Beyond Good And Evil”",Philosophy Of Art,Friedrich Nietzsche
69,1768,Poland,1834,Germany,,Protestantism,Friedrich Schleiermacher
70,1807,Germany,1887,Austria,,"Literature, Realism",Friedrich Theodor von Vischer
71,1775,Germany,1854,Switzerland,,"Ego, Consciousness, Free Will, Absolute",Friedrich Wilhelm Joseph von Schelling
72,1849,Bohemia,1923,Germany,,"Language, Epistemology",Fritz Mauthner
73,1866,Poland,1942,Union,,"Buddhism, Indian Philosophy, Logic",Fyodor Ippolitovich Shcherbatskoy
74,1420,Speyer,1495,Württemberg,“Collectorium Circa Iv Libros Sententiarum”,"Scholasticism, Political Economy, William Of Ockham, Economic Theory",Gabriel Biel
75,1862,Switzerland,1906,Switzerland,,Theism,Gaston Frommel
76,283,China,343,China,“Baopuzi”,"Ethics, Daoism, Confucianism, Alchemy",Ge Hong
77,1693,Germany,1750,Germany,,"Gottfried Wilhelm Leibniz, Christian, Baron Von Wolff, Possibility, Monad",Georg Bernhard Bilfinger
78,1842,Denmark,1927,Denmark,“Main Currents In 19Th Century Literature”,"Literature, Michelangelo, Julius Caesar, Voltaire, Naturalism",Georg Brandes
79,1858,Germany,1918,Germany,“Philosophie Des Geldes”,"Economics, Money, Human Being, Social Interaction",Georg Simmel
80,1770,Germany,1831,Germany,“The Philosophy Of Right”,"Rationalism, Absolute Idealism, Dialectic, Absolute Spirit, Geist",Georg Wilhelm Friedrich Hegel
81,1355,Turkey,1452,Greece,,"Aristotelianism, Neoplatonism",George Gemistus Plethon
82,1918,Canada,1988,Canada,“Lament For A Nation: The Defeat Of Canadian Nationalism”,"Canada, Nationalism",George Grant
83,1817,England,1878,England,,Science,George Henry Lewes
84,1863,Massachusetts,1931,Illinois,,"Language, Social Interaction",George Herbert Mead
85,1863,Spain,1952,Italy,,"Skepticism, Poetry, Faith, Reason, Essence",George Santayana
86,1842,Ohio,1921,Connecticut,"“Elements Of Physiological Psychology”, “Psychology, Descriptive And Explanatory”","Biological Psychology, Functionalism, Experimental Psychology",George Trumbull Ladd
87,1861,Ireland,1909,England,,"Theological Liberalism, Modernism",George Tyrrell
88,1620,France,1684,France,,"Animal Magnetism, Matter",Geraud de Cordemoy
89,1668,Italy,1744,Italy,,"Philosophical Anthropology, Providence, Social Evolution",Giambattista Vico
90,1243,Italy,1316,France,,"Aristotelianism, Scholasticism, Papacy, Thomism, Authority",Giles of Rome
91,1925,France,1995,France,"“A Thousand Plateaus”, “The Anti-Oedipus: Capitalism And Schizophrenia”, “Difference And Repetition”, “Capitalism And Schizophrenia”",Metaphysics,Gilles Deleuze
92,1646,Germany,1716,Germany,"“Système Nouveau”, “Nova Methodus Pro Maximis Et Minimis”, “On The Ultimate Origin Of Things”, “Principes De La Nature Et De La Grâce Fondés En Raison”, “Monadologia”, “Reflections On Knowledge, Truth, And Ideas”, “De Arte Combinatoria”, “Hypothesis Physica Nova”, “Theodicy”, “De Principio Individui”","Problem Of Evil, Personalism, Differentiation, Best Of All Possible Worlds, Integration",Gottfried Wilhelm Leibniz
93,1729,Germany,1781,Germany,"“Miss Sara Sampson”, “Fragmente Eines Ungenannten”, “Die Juden”, “Hamburg Dramaturgy”, “Minna Von Barnhelm”, “Der Junge Gelehrte”, “Laocoon”, “The Education Of The Human Race”, “Emilia Galotti”, “Nathan The Wise”",Dramatic Literature,Gotthold Ephraim Lessing
94,1848,Germany,1925,Germany,,"Variable, Quantifier",Gottlob Frege
95,1300,Italy,1358,Austria,,Grace,Gregory of Rimini
96,1613,China,1682,China,,Confucianism,Gu Yanwu
97,1801,Germany,1887,Germany,“Elements Of Psychophysics”,"Perception, Sensation, Weber’S Law",Gustav Theodor Fechner
98,1798,Iran,1878,Iran,,Ḥikmah,Hajji Hadi Sabzevari
99,1906,Germany,1975,York,"“Eichmann In Jerusalem”, “Origins Of Totalitarianism”, “The Human Condition”","Anti-Semitism, Adolf Eichmann, Totalitarianism, Trial",Hannah Arendt
100,1891,Germany,1953,California,,"Probability Theory, Induction",Hans Reichenbach
101,1900,Germany,2002,Germany,,Hermeneutics,Hans-Georg Gadamer
102,1905,Poland,1998,Illinois,,"Education, Philosophy Of Education, Psychology",Harry S. Broudy
103,1877,Japan,1950,Japan,,Christianity,Hatano Seiichi
104,1583,Japan,1657,Japan,,"Shintō, Zhu Xi, Neo-Confucianism",Hayashi Razan
105,193,China,249,China,,"Daoism, Confucianism, Wuwei, Wu, Qingtan",He Yan
106,1088,India,1172,India,"“Arhanniti”, “Trishashtishalakapurusha-Charita”",Jainism,Hemachandra
107,1859,France,1941,France,,"Evolution, Time, Human Intelligence, Memory, Instinct",Henri Bergson
108,1863,France,1954,France,,Philosophy Of History,Henri Berr
109,1854,France,1912,France,“Analysis Situs”,"Relativity, Fuchsian Function, Automorphic Function, N-Body Problem",Henri Poincare
110,1820,England,1871,England,,"Philosophy, Sir William Hamilton, 9Th Baronet, Knowledge",Henry Longueville Mansel
111,1838,England,1900,England,“Methods Of Ethics”,"Ethics, Utilitarianism, Egoism, Categorical Imperative, Intuitionism",Henry Sidgwick
112,1820,England,1903,England,"“The Synthetic Philosophy”, “The Proper Sphere Of Government”, “The Principles Of Psychology”, “The Principles Of Sociology”, “Social Statics”, “The Man Versus The State”, “Descriptive Sociology”, “First Principles”","Evolution, Social Change, Social Structure, Cultural Evolution, Survival Of The Fittest",Herbert Spencer
113,1842,Germany,1918,Germany,,Judaism,Hermann Cohen
114,1821,Germany,1894,Germany,"“On The Sensation Of Tone As A Physiological Basis For The Theory Of Music”, “Handbook Of Physiological Optics”","Electricity, Sound, Wave, Non-Euclidean Geometry, Conservation Of Energy",Hermann von Helmholtz
115,1022,Spain,1070,Spain,,Neoplatonism,Ibn Gabirol
116,1724,Prussia,1804,Prussia,"“Critique Of Practical Reason”, “Critique Of Pure Reason”, “Critique Of Judgment”","Political Philosophy, Immortality, Existence Of God, Teleology, Category",Immanuel Kant
117,1809,Germany,1884,Germany,,"Protestantism, Kantianism",Isaak August Dorner
118,1627,Japan,1705,Japan,,Kogaku,Ito Jinsai
119,1822,Netherlands,1893,Italy,,"Thought, Emotion",Jacob Moleschott
120,1930,Algeria,2004,France,,"Metaphysics, Deconstruction, Philosophy",Jacques Derrida
121,1882,France,1973,France,,"Thomas Aquinas, Saint",Jacques Maritain
122,1810,Spain,1848,Spain,,Roman Catholicism,Jaime Luciano Balmes
123,1575,Germany,1624,Germany,,"Mysticism, Alchemy, Paracelsus, Dialectic, Free Will",Jakob Bohme
124,1808,Scotland,1864,Scotland,,Agnoiology,James Frederick Ferrier
125,1904,Ithaca,1979,York,“The Perception Of The Visual World”,"Perception, “The Perception Of The Visual World”",James J. Gibson
126,1861,Carolina,1934,France,,Individual Difference,James Mark Baldwin
127,1805,England,1900,England,,"Unitarianism, Authority, Religion, Conscience",James Martineau
128,1929,France,2007,France,,"Simulacrum, Hyperreality",Jean Baudrillard
129,1712,Switzerland,1778,France,"“Emile: Or, On Education”, “Julie; Or, The New Eloise”, “Rousseau Juge De Jean-Jacques”, “The Reveries Of A Solitary Walker”, “The Profession Of Faith Of A Savoyard Vicar”, “Letter To Monsieur D’Alembert On The Theatre”, “Confessions”, “The Cunning-Man”, “Letters Written From The Mountain”, “A Discourse On The Sciences And The Arts”","Cultural Evolution, General Will",Jean-Jacques Rousseau
